neg: 0.0, neu: 0.0, pos: 1.0, 0.3182, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.06, neu: 0.874, pos: 0.066, 0.0516, 
neg: 0.0, neu: 0.948, pos: 0.052, 0.34, 
neg: 0.087, neu: 0.913, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.084, neu: 0.916, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.224, neu: 0.683, pos: 0.093, -0.4767, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.052, neu: 0.948, pos: 0.0, -0.296, 
neg: 0.055, neu: 0.926, pos: 0.019, -0.5574, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.912, pos: 0.088, 0.34, 
neg: 0.214, neu: 0.583, pos: 0.204, -0.0258, 
neg: 0.167, neu: 0.833, pos: 0.0, -0.296, 
neg: 0.0, neu: 0.926, pos: 0.074, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.087, neu: 0.913, pos: 0.0, -0.296, 
neg: 0.136, neu: 0.864, pos: 0.0, -0.296, 
neg: 0.064, neu: 0.936, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.064, neu: 0.936, pos: 0.0, -0.296, 
neg: 0.055, neu: 0.902, pos: 0.043, -0.128, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.924, pos: 0.076, 0.5859, 
neg: 0.109, neu: 0.891, pos: 0.0, -0.296, 
neg: 0.0, neu: 0.924, pos: 0.076, 0.34, 
neg: 0.0, neu: 0.959, pos: 0.041, 0.34, 
neg: 0.0, neu: 0.912, pos: 0.088, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.688, neu: 0.312, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.936, pos: 0.064, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.286, neu: 0.714, pos: 0.0, -0.5574, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.934, pos: 0.066, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.956, pos: 0.044, 0.34, 
neg: 0.073, neu: 0.927, pos: 0.0, -0.296, 
neg: 0.036, neu: 0.925, pos: 0.039, 0.0516, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.024, neu: 0.976, pos: 0.0, -0.296, 
neg: 0.03, neu: 0.917, pos: 0.053, 0.5473, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.858, pos: 0.142, 0.5859, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.928, pos: 0.072, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.091, neu: 0.909, pos: 0.0, -0.5267, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.87, pos: 0.13, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.959, pos: 0.041, 0.1027, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.124, neu: 0.876, pos: 0.0, -0.5267, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.556, pos: 0.444, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.128, neu: 0.872, pos: 0.0, -0.296, 
neg: 0.049, neu: 0.951, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.061, neu: 0.939, pos: 0.0, -0.296, 
neg: 0.084, neu: 0.916, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.087, neu: 0.913, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.087, neu: 0.913, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.039, neu: 0.919, pos: 0.042, 0.0516, 
neg: 0.167, neu: 0.833, pos: 0.0, -0.5267, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.115, neu: 0.885, pos: 0.0, -0.296, 
neg: 0.078, neu: 0.922, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.081, neu: 0.919, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.05, neu: 0.95, pos: 0.0, -0.296, 
neg: 0.0, neu: 0.951, pos: 0.049, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.942, pos: 0.058, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.068, neu: 0.932, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.091, neu: 0.909, pos: 0.0, -0.5267, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.087, neu: 0.913, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.068, neu: 0.932, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.148, neu: 0.772, pos: 0.081, -0.25, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.073, neu: 0.927, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.101, neu: 0.899, pos: 0.0, -0.5267, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.058, neu: 0.942, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.897, pos: 0.103, 0.5859, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.912, pos: 0.088, 0.34, 
neg: 0.035, neu: 0.889, pos: 0.076, 0.3818, 
neg: 0.0, neu: 0.926, pos: 0.074, 0.5859, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.933, pos: 0.067, 0.5859, 
neg: 0.0, neu: 0.858, pos: 0.142, 0.5859, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.928, pos: 0.072, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.091, neu: 0.909, pos: 0.0, -0.5267, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.904, pos: 0.096, 0.5859, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.819, pos: 0.181, 0.8074, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.05, neu: 0.95, pos: 0.0, -0.5267, 
neg: 0.0, neu: 0.926, pos: 0.074, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.08, neu: 0.833, pos: 0.087, 0.0516, 
neg: 0.0, neu: 0.93, pos: 0.07, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.08, neu: 0.833, pos: 0.087, 0.0516, 
neg: 0.051, neu: 0.949, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.064, neu: 0.936, pos: 0.0, -0.5267, 
neg: 0.0, neu: 0.915, pos: 0.085, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.066, neu: 0.934, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.145, neu: 0.855, pos: 0.0, -0.296, 
neg: 0.071, neu: 0.929, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.893, pos: 0.107, 0.34, 
neg: 0.0, neu: 0.862, pos: 0.138, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.034, neu: 0.891, pos: 0.075, 0.3818, 
neg: 0.0, neu: 0.789, pos: 0.211, 0.34, 
neg: 0.038, neu: 0.962, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.061, neu: 0.939, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.936, pos: 0.064, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.954, pos: 0.046, 0.34, 
neg: 0.0, neu: 0.858, pos: 0.142, 0.5859, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.928, pos: 0.072, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.091, neu: 0.909, pos: 0.0, -0.5267, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.029, neu: 0.938, pos: 0.032, 0.0516, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.87, pos: 0.13, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.947, pos: 0.053, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.095, neu: 0.905, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.15, neu: 0.85, pos: 0.0, -0.5267, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.105, neu: 0.837, pos: 0.057, -0.25, 
neg: 0.053, neu: 0.947, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.104, neu: 0.896, pos: 0.0, -0.296, 
neg: 0.084, neu: 0.916, pos: 0.0, -0.296, 
neg: 0.0, neu: 0.789, pos: 0.211, 0.34, 
neg: 0.062, neu: 0.937, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.019, neu: 0.938, pos: 0.042, 0.3818, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.924, pos: 0.076, 0.5859, 
neg: 0.18, neu: 0.82, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.882, pos: 0.118, 0.34, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.093, neu: 0.907, pos: 0.0, -0.5574, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.032, neu: 0.928, pos: 0.041, 0.1531, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.05, neu: 0.95, pos: 0.0, -0.296, 
neg: 0.291, neu: 0.709, pos: 0.0, -0.3535, 
neg: 0.163, neu: 0.752, pos: 0.085, -0.3612, 
neg: 0.103, neu: 0.769, pos: 0.128, 0.296, 
neg: 0.108, neu: 0.892, pos: 0.0, -0.3612, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.833, pos: 0.167, 0.34, 
neg: 0.112, neu: 0.888, pos: 0.0, -0.2263, 
neg: 0.032, neu: 0.835, pos: 0.134, 0.7269, 
neg: 0.081, neu: 0.919, pos: 0.0, -0.3182, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.862, pos: 0.138, 0.6059, 
neg: 0.167, neu: 0.833, pos: 0.0, -0.296, 
neg: 0.091, neu: 0.909, pos: 0.0, -0.3182, 
neg: 0.109, neu: 0.87, pos: 0.02, -0.765, 
neg: 0.368, neu: 0.632, pos: 0.0, -0.872, 
neg: 0.122, neu: 0.878, pos: 0.0, -0.5574, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.252, neu: 0.748, pos: 0.0, -0.4019, 
neg: 0.0, neu: 0.949, pos: 0.051, 0.128, 
neg: 0.062, neu: 0.808, pos: 0.13, 0.2382, 
neg: 0.0, neu: 0.667, pos: 0.333, 0.6697, 
neg: 0.065, neu: 0.809, pos: 0.126, 0.4617, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.167, neu: 0.833, pos: 0.0, -0.4215, 
neg: 0.0, neu: 0.877, pos: 0.123, 0.6369, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.841, pos: 0.159, 0.3384, 
neg: 0.0, neu: 0.536, pos: 0.464, 0.3818, 
neg: 0.185, neu: 0.615, pos: 0.2, 0.0258, 
neg: 0.0, neu: 0.967, pos: 0.033, 0.0772, 
neg: 0.148, neu: 0.852, pos: 0.0, -0.3818, 
neg: 0.353, neu: 0.647, pos: 0.0, -0.2924, 
neg: 0.074, neu: 0.744, pos: 0.183, 0.4966, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.962, pos: 0.038, 0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.12, neu: 0.781, pos: 0.099, -0.1027, 
neg: 0.176, neu: 0.824, pos: 0.0, -0.5405, 
neg: 0.0, neu: 0.899, pos: 0.101, 0.2023, 
neg: 0.0, neu: 0.853, pos: 0.147, 0.2263, 
neg: 0.122, neu: 0.878, pos: 0.0, -0.886, 
neg: 0.11, neu: 0.841, pos: 0.049, -0.5106, 
neg: 0.067, neu: 0.701, pos: 0.232, 0.6879, 
neg: 0.0, neu: 0.839, pos: 0.161, 0.8225, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.073, neu: 0.927, pos: 0.0, -0.3182, 
neg: 0.085, neu: 0.767, pos: 0.148, 0.5267, 
neg: 0.063, neu: 0.898, pos: 0.039, -0.296, 
neg: 0.07, neu: 0.863, pos: 0.067, -0.0359, 
neg: 0.0, neu: 0.885, pos: 0.115, 0.6369, 
neg: 0.0, neu: 0.849, pos: 0.151, 0.6597, 
neg: 0.13, neu: 0.87, pos: 0.0, -0.4019, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.186, neu: 0.814, pos: 0.0, -0.6705, 
neg: 0.075, neu: 0.864, pos: 0.061, -0.4201, 
neg: 0.133, neu: 0.867, pos: 0.0, -0.3818, 
neg: 0.148, neu: 0.852, pos: 0.0, -0.3818, 
neg: 0.099, neu: 0.835, pos: 0.066, -0.0772, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.068, neu: 0.932, pos: 0.0, -0.3612, 
neg: 0.172, neu: 0.828, pos: 0.0, -0.5529, 
neg: 0.065, neu: 0.793, pos: 0.142, 0.4019, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.128, neu: 0.777, pos: 0.095, -0.3182, 
neg: 0.306, neu: 0.694, pos: 0.0, -0.6486, 
neg: 0.294, neu: 0.706, pos: 0.0, -0.939, 
neg: 0.221, neu: 0.779, pos: 0.0, -0.5267, 
neg: 0.206, neu: 0.685, pos: 0.109, -0.34, 
neg: 0.076, neu: 0.924, pos: 0.0, -0.3855, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.261, neu: 0.739, pos: 0.0, -0.5574, 
neg: 0.205, neu: 0.795, pos: 0.0, -0.3818, 
neg: 0.025, neu: 0.975, pos: 0.0, -0.1027, 
neg: 0.0, neu: 0.938, pos: 0.062, 0.2732, 
neg: 0.153, neu: 0.764, pos: 0.084, -0.5859, 
neg: 0.16, neu: 0.84, pos: 0.0, -0.6249, 
neg: 0.147, neu: 0.804, pos: 0.049, -0.4939, 
neg: 0.053, neu: 0.847, pos: 0.099, 0.2263, 
neg: 0.0, neu: 0.833, pos: 0.167, 0.765, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.073, neu: 0.762, pos: 0.165, 0.4404, 
neg: 0.147, neu: 0.853, pos: 0.0, -0.2263, 
neg: 0.0, neu: 0.847, pos: 0.153, 0.2023, 
neg: 0.107, neu: 0.796, pos: 0.097, -0.5499, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.937, pos: 0.063, 0.2732, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.029, neu: 0.944, pos: 0.027, -0.0258, 
neg: 0.16, neu: 0.708, pos: 0.132, -0.1531, 
neg: 0.0, neu: 0.944, pos: 0.056, 0.3818, 
neg: 0.078, neu: 0.922, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.625, pos: 0.375, 0.8126, 
